OPDMS_EID,PSSE_BUS_NUMBER,PSSE_BUS_NAME,EMS_REGION_ID,EMS_STN_ID,EMS_ID,EMS_STN_DESC,BASKV,BUS_TYPE_IDE,AREA,ZONE
206694,442940,4STANWL_132A,QLD,H29_STAN,16,STANWELL 275KV,132,1,4,98
206680,442980,4STANWL_275A,QLD,H29_STAN,12,STANWELL 275KV,275,1,4,98
206497,443001,4CALLDB___G1,QLD,CAL_B_PS,12,CALLIDE B PS 275KV,20,2,4,98
206498,443002,4CALLDB___G2,QLD,CAL_B_PS,11,CALLIDE B PS 275KV,20,2,4,98
206495,443080,4CALLDB_275A,QLD,CAL_B_PS,5,CALLIDE B PS 275KV,275,1,4,98
206496,443081,4CALLDB_275B,QLD,CAL_B_PS,1,CALLIDE B PS 275KV,275,1,4,98
3924333,443120,4MOLNDR__11A,QLD,H31_MDNR,37,MOLENDINAR 275KV,11,1,4,98
3923800,443121,4MOLNDR__11B,QLD,H31_MDNR,32,MOLENDINAR 275KV,11,1,4,98
3923799,443122,4MOLNDR__11C,QLD,H31_MDNR,31,MOLENDINAR 275KV,11,1,4,98
3923394,443130,4MOLNDR__33A,QLD,H31_MDNR,25,MOLENDINAR 275KV,33,1,4,98
3923393,443131,4MOLNDR__33B,QLD,H31_MDNR,22,MOLENDINAR 275KV,33,1,4,98
3932164,443132,4MOLNDR__33C,QLD,H31_MDNR,2T12,MOLENDINAR 275KV,33,1,4,98
3924321,443153,4MOLNDR_110N,QLD,H31_MDNR,43,MOLENDINAR 275KV,110,1,4,98
2526517,443180,4MOLNDR_275A,QLD,H31_MDNR,8,MOLENDINAR 275KV,275,1,4,98
3923338,443181,4MOLNDR_275B,QLD,H31_MDNR,19,MOLENDINAR 275KV,275,1,4,98
207082,443220,4CHALUM__19A,QLD,H32_CHLM,4,CHALUMBIN 275KV,19.1,1,4,98
207074,443240,4CHALUM_132A,QLD,H32_CHLM,7,CHALUMBIN 275KV,132,1,4,98
2966356,443280,4CHALUM_275A,QLD,H32_CHLM,30,CHALUMBIN 275KV,275,1,4,98
1811841,443540,4STRATH_132A,QLD,H35_STHM,13,STRATHMORE 275KV,132,1,4,98
1811848,443541,4STRATH_132B,QLD,H35_STHM,19,STRATHMORE 275KV,132,1,4,98
1074706,443580,4STRATH_275A,QLD,H35_STHM,1,STRATHMORE 275KV,275,1,4,98
